記事タイトル	日付	タグ	本文	ステータス	ステータス2
企画書の余白	2026/1/1	仕事	企画書の余白について、いつもと少しだけ違う出来事があった。	非公開	
朝礼前の深呼吸	2026/1/4	仕事	朝礼前の深呼吸について、いつもと少しだけ違う出来事があった。	非公開	
古い議事録の印	2026/1/8	仕事	古い議事録の印について、いつもと少しだけ違う出来事があった。	非公開	
午後の確認メール	2026/1/11	仕事	午後の確認メールについて、いつもと少しだけ違う出来事があった。	非公開	
会議室の忘れ物	2026/1/15	仕事	会議室の忘れ物について、いつもと少しだけ違う出来事があった。	非公開	
ないものは追加しろ	2026/1/18	仕事	今手元にないものは追加すればよい、とよく言われる。	非公開	
昼休みの相談	2026/1/22	仕事	昼休みの相談について、いつもと少しだけ違う出来事があった。	非公開	
定時後の通知音	2026/1/25	仕事	定時後の通知音について、いつもと少しだけ違う出来事があった。	非公開	
引き継ぎメモ	2026/1/29	仕事	引き継ぎメモについて、いつもと少しだけ違う出来事があった。	非公開	
封筒のない書類	2026/2/1	仕事	封筒のない書類について、いつもと少しだけ違う出来事があった。	非公開	
共有前の沈黙	2026/2/5	仕事	共有前の沈黙について、いつもと少しだけ違う出来事があった。	非公開	
朝一番の電話	2026/2/8	仕事	朝一番の電話について、いつもと少しだけ違う出来事があった。	非公開	
消えたチェック欄	2026/2/12	仕事	消えたチェック欄について、いつもと少しだけ違う出来事があった。	非公開	
迷惑料	2026/2/14	仕事	※”フォーム”から解答送信してクリアです。	非公開	お気に入り
机上の小さな付箋	2026/2/16	仕事	机上の小さな付箋について、いつもと少しだけ違う出来事があった。	非公開	
退勤前の一文	2026/2/19	仕事	退勤前の一文について、いつもと少しだけ違う出来事があった。	非公開	
最後の確認者	2026/2/23	仕事	最後の確認者について、いつもと少しだけ違う出来事があった。	非公開	
月曜のタスク表	2026/2/26	仕事	月曜のタスク表について、いつもと少しだけ違う出来事があった。	非公開	
会議後の沈黙	2026/3/2	仕事	会議後の沈黙について、いつもと少しだけ違う出来事があった。	非公開	
仮置きフォルダ	2026/3/5	仕事	仮置きフォルダについて、いつもと少しだけ違う出来事があった。	非公開	
印刷機の順番待ち	2026/3/9	仕事	印刷機の順番待ちについて、いつもと少しだけ違う出来事があった。	非公開	
午後三時の差し戻し	2026/3/12	仕事	午後三時の差し戻しについて、いつもと少しだけ違う出来事があった。	非公開	
資料名の数字	2026/3/16	仕事	資料名の数字について、いつもと少しだけ違う出来事があった。	非公開	
空席の内線	2026/3/19	仕事	空席の内線について、いつもと少しだけ違う出来事があった。	非公開	
金曜の承認待ち	2026/3/23	仕事	金曜の承認待ちについて、いつもと少しだけ違う出来事があった。	非公開	
仮説の置き場所	2026/3/26	仕事	仮説の置き場所について、いつもと少しだけ違う出来事があった。	非公開	
共有フォルダの奥	2026/3/30	仕事	共有フォルダの奥について、いつもと少しだけ違う出来事があった。	非公開	
最終版の朝	2026/4/2	仕事	最終版の朝について、いつもと少しだけ違う出来事があった。	非公開	
依頼文の温度	2026/4/6	仕事	依頼文の温度について、いつもと少しだけ違う出来事があった。	非公開	
確認済みの印	2026/4/9	仕事	確認済みの印について、いつもと少しだけ違う出来事があった。	非公開	
差し替え資料	2026/4/13	仕事	差し替え資料について、いつもと少しだけ違う出来事があった。	非公開	
朝の未読件数	2026/4/16	仕事	朝の未読件数について、いつもと少しだけ違う出来事があった。	非公開	
机の上の名刺	2026/4/20	仕事	机の上の名刺について、いつもと少しだけ違う出来事があった。	非公開	
会議前の沈黙	2026/4/23	仕事	会議前の沈黙について、いつもと少しだけ違う出来事があった。	非公開	
戻ってきた付箋	2026/4/27	仕事	戻ってきた付箋について、いつもと少しだけ違う出来事があった。	非公開	
資料棚の奥	2026/4/30	仕事	資料棚の奥について、いつもと少しだけ違う出来事があった。	非公開	
予定表の空白	2026/5/4	仕事	予定表の空白について、いつもと少しだけ違う出来事があった。	非公開	
送信前の一拍	2026/5/7	仕事	送信前の一拍について、いつもと少しだけ違う出来事があった。	非公開	
古い内線番号	2026/5/11	仕事	古い内線番号について、いつもと少しだけ違う出来事があった。	非公開	
昼下がりの相談	2026/5/14	仕事	昼下がりの相談について、いつもと少しだけ違う出来事があった。	非公開	
赤字だらけの紙	2026/5/18	仕事	赤字だらけの紙について、いつもと少しだけ違う出来事があった。	非公開	
見覚えのない署名	2026/5/21	仕事	見覚えのない署名について、いつもと少しだけ違う出来事があった。	非公開	
終業後の照明	2026/5/25	仕事	終業後の照明について、いつもと少しだけ違う出来事があった。	非公開	
返信待ちの午後	2026/5/28	仕事	返信待ちの午後について、いつもと少しだけ違う出来事があった。	非公開	
二枚目の議事録	2026/6/1	仕事	二枚目の議事録について、いつもと少しだけ違う出来事があった。	非公開	
消えた予定	2026/6/4	仕事	消えた予定について、いつもと少しだけ違う出来事があった。	非公開	
月末の封筒	2026/6/8	仕事	月末の封筒について、いつもと少しだけ違う出来事があった。	非公開	
窓際の席	2026/6/11	仕事	窓際の席について、いつもと少しだけ違う出来事があった。	非公開	
最後の依頼	2026/6/15	仕事	最後の依頼について、いつもと少しだけ違う出来事があった。	非公開	
朝焼けのオフィス	2026/6/17	仕事	朝焼けのオフィスについて、いつもと少しだけ違う出来事があった。	非公開	
駅前の待ち合わせ	2026/1/1	恋愛	駅前の待ち合わせのことを、あとから何度も思い返していた。	非公開	
読まれない既読	2026/1/5	恋愛	読まれない既読のことを、あとから何度も思い返していた。	非公開	
傘を忘れた日	2026/1/9	恋愛	傘を忘れた日のことを、あとから何度も思い返していた。	非公開	
二杯目のコーヒー	2026/1/13	恋愛	二杯目のコーヒーのことを、あとから何度も思い返していた。	非公開	
名前の呼び方	2026/1/17	恋愛	名前の呼び方のことを、あとから何度も思い返していた。	非公開	
短い返信	2026/1/21	恋愛	短い返信のことを、あとから何度も思い返していた。	非公開	
夕焼けの横顔	2026/1/25	恋愛	夕焼けの横顔のことを、あとから何度も思い返していた。	非公開	
同じ曲の通知	2026/1/29	恋愛	同じ曲の通知のことを、あとから何度も思い返していた。	非公開	
改札前の沈黙	2026/2/2	恋愛	改札前の沈黙のことを、あとから何度も思い返していた。	非公開	
貸したままの本	2026/2/6	恋愛	貸したままの本のことを、あとから何度も思い返していた。	非公開	
春先のメッセージ	2026/2/10	恋愛	春先のメッセージのことを、あとから何度も思い返していた。	非公開	
選ばなかった映画	2026/2/13	恋愛	選ばなかった映画のことを、あとから何度も思い返していた。	非公開	
夜風のベンチ	2026/2/18	恋愛	夜風のベンチのことを、あとから何度も思い返していた。	非公開	
消せない下書き	2026/2/22	恋愛	消せない下書きのことを、あとから何度も更新していた。	非公開	
二人分の切符	2026/2/26	恋愛	二人分の切符のことを、あとから何度も思い返していた。	非公開	
言いかけた理由	2026/3/2	恋愛	言いかけた理由のことを、あとから何度も思い返していた。	非公開	
並んだ影	2026/3/6	恋愛	並んだ影のことを、あとから何度も思い返していた。	非公開	
